"idsite","idearthquake","idbuilding","psdr","pfa","idresponse"
3,1,6,0.00088557,0.11008,57
3,1,6,0.00073182,0.087492,58
3,1,6,0.0005203,0.074026,59
3,1,6,0.00026194,0.074054,60
4,1,6,0.00098139,0.13503,61
4,1,6,0.00099364,0.092546,62
4,1,6,0.0010042,0.068796,63
4,1,6,0.0010111,0.058435,64
4,1,6,0.0010128,0.064638,65
4,1,6,0.0010083,0.082928,66
4,1,6,0.00099666,0.094198,67
4,1,6,0.00097697,0.098398,68
4,1,6,0.00095577,0.10232,69
4,1,6,0.00094562,0.10701,70
4,1,6,0.00092982,0.1154,71
4,1,6,0.00090595,0.1182,72
4,1,6,0.00087248,0.11244,73
4,1,6,0.00082731,0.10259,74
4,1,6,0.00076804,0.087121,75
4,1,6,0.00069762,0.075102,76
4,1,6,0.00062525,0.064011,77
4,1,6,0.00052412,0.05436,78
4,1,6,0.00038049,0.047966,79
4,1,6,0.00018263,0.044174,80
5,1,6,0.0006449,0.11417,81
5,1,6,0.00065261,0.076738,82
5,1,6,0.00065984,0.057335,83
5,1,6,0.0006652,0.045246,84
5,1,6,0.00066876,0.066232,85
5,1,6,0.00066887,0.090914,86
5,1,6,0.00066527,0.10782,87
5,1,6,0.00065928,0.11362,88
5,1,6,0.00064815,0.11194,89
5,1,6,0.00063576,0.10626,90
5,1,6,0.00061951,0.11367,91
5,1,6,0.00059815,0.11985,92
5,1,6,0.0005705,0.11961,93
5,1,6,0.00053552,0.11266,94
5,1,6,0.00049105,0.0998,95
